,date,format,deck,wins,games
187,2023-06-23,LTR,Izzet (UR) + Splash,95,161
188,2023-06-23,LTR,Boros (RW) + Splash,16,31
189,2023-06-23,LTR,Jeskai (WUR),12,27
190,2023-06-23,LTR,Sultai (UBG),7,22
191,2023-06-23,LTR,Mardu (BRW),24,41
192,2023-06-23,LTR,Temur (RGU),1,4
193,2023-06-23,LTR,Abzan (GWB),22,41
194,2023-06-23,LTR,Esper (WUB),5,14
195,2023-06-23,LTR,Grixis (UBR),39,69
196,2023-06-23,LTR,Jund (BRG),13,17
197,2023-06-23,LTR,Naya (RGW),5,8
198,2023-06-23,LTR,Bant (GWU),7,9
199,2023-06-23,LTR,Jeskai (WUR) + Splash,0,0
200,2023-06-23,LTR,Sultai (UBG) + Splash,0,0
201,2023-06-23,LTR,Mardu (BRW) + Splash,0,3
202,2023-06-23,LTR,Temur (RGU) + Splash,0,0
203,2023-06-23,LTR,Abzan (GWB) + Splash,2,5
204,2023-06-23,LTR,Esper (WUB) + Splash,2,5
205,2023-06-23,LTR,Grixis (UBR) + Splash,0,0
206,2023-06-23,LTR,Jund (BRG) + Splash,1,3
207,2023-06-23,LTR,Naya (RGW) + Splash,4,7
208,2023-06-23,LTR,Bant (GWU) + Splash,0,0
209,2023-06-23,LTR,Four-color,3,5
210,2023-06-23,LTR,Four-color + Splash,0,0
211,2023-06-23,LTR,Five-color,0,0
212,2023-06-24,LTR,Mono-White,0,0
213,2023-06-24,LTR,Mono-Blue,0,0
214,2023-06-24,LTR,Mono-Black,0,0
215,2023-06-24,LTR,Mono-Red,9,13
216,2023-06-24,LTR,Mono-Green,0,0
217,2023-06-24,LTR,Mono-White + Splash,0,0
218,2023-06-24,LTR,Mono-Blue + Splash,0,0
219,2023-06-24,LTR,Mono-Black + Splash,33,51
220,2023-06-24,LTR,Mono-Red + Splash,3,7
221,2023-06-24,LTR,Mono-Green + Splash,2,4
222,2023-06-24,LTR,Azorius (WU),93,143
223,2023-06-24,LTR,Dimir (UB),258,394
224,2023-06-24,LTR,Rakdos (BR),942,1415
225,2023-06-24,LTR,Gruul (RG),28,52
226,2023-06-24,LTR,Selesnya (GW),54,82
227,2023-06-24,LTR,Orzhov (WB),461,749
228,2023-06-24,LTR,Golgari (BG),81,133
229,2023-06-24,LTR,Simic (GU),42,75
230,2023-06-24,LTR,Izzet (UR),273,433
231,2023-06-24,LTR,Boros (RW),290,493
232,2023-06-24,LTR,Azorius (WU) + Splash,5,10
233,2023-06-24,LTR,Dimir (UB) + Splash,103,168
234,2023-06-24,LTR,Rakdos (BR) + Splash,106,177
235,2023-06-24,LTR,Gruul (RG) + Splash,20,30
236,2023-06-24,LTR,Selesnya (GW) + Splash,22,51
237,2023-06-24,LTR,Orzhov (WB) + Splash,82,141
238,2023-06-24,LTR,Golgari (BG) + Splash,22,41
239,2023-06-24,LTR,Simic (GU) + Splash,19,36
240,2023-06-24,LTR,Izzet (UR) + Splash,91,156
241,2023-06-24,LTR,Boros (RW) + Splash,41,62
242,2023-06-24,LTR,Jeskai (WUR),1,2
243,2023-06-24,LTR,Sultai (UBG),4,9
244,2023-06-24,LTR,Mardu (BRW),32,55
245,2023-06-24,LTR,Temur (RGU),9,14
246,2023-06-24,LTR,Abzan (GWB),33,53
247,2023-06-24,LTR,Esper (WUB),10,26
248,2023-06-24,LTR,Grixis (UBR),56,101
249,2023-06-24,LTR,Jund (BRG),7,17
250,2023-06-24,LTR,Naya (RGW),8,13
251,2023-06-24,LTR,Bant (GWU),4,10
252,2023-06-24,LTR,Jeskai (WUR) + Splash,0,0
253,2023-06-24,LTR,Sultai (UBG) + Splash,3,5
254,2023-06-24,LTR,Mardu (BRW) + Splash,0,0
255,2023-06-24,LTR,Temur (RGU) + Splash,0,0
256,2023-06-24,LTR,Abzan (GWB) + Splash,5,8
257,2023-06-24,LTR,Esper (WUB) + Splash,0,0
258,2023-06-24,LTR,Grixis (UBR) + Splash,0,0
