,date,format,deck,wins,games
188,2023-06-23,LTR,Boros (RW) + Splash,120,237
189,2023-06-23,LTR,Jeskai (WUR),73,150
190,2023-06-23,LTR,Sultai (UBG),46,116
191,2023-06-23,LTR,Mardu (BRW),135,236
192,2023-06-23,LTR,Temur (RGU),36,73
193,2023-06-23,LTR,Abzan (GWB),187,368
194,2023-06-23,LTR,Esper (WUB),69,177
195,2023-06-23,LTR,Grixis (UBR),243,471
196,2023-06-23,LTR,Jund (BRG),80,147
197,2023-06-23,LTR,Naya (RGW),60,124
198,2023-06-23,LTR,Bant (GWU),78,167
199,2023-06-23,LTR,Jeskai (WUR) + Splash,1,4
200,2023-06-23,LTR,Sultai (UBG) + Splash,4,9
201,2023-06-23,LTR,Mardu (BRW) + Splash,0,5
202,2023-06-23,LTR,Temur (RGU) + Splash,12,23
203,2023-06-23,LTR,Abzan (GWB) + Splash,22,51
204,2023-06-23,LTR,Esper (WUB) + Splash,6,12
205,2023-06-23,LTR,Grixis (UBR) + Splash,5,20
206,2023-06-23,LTR,Jund (BRG) + Splash,14,23
207,2023-06-23,LTR,Naya (RGW) + Splash,30,61
208,2023-06-23,LTR,Bant (GWU) + Splash,23,44
209,2023-06-23,LTR,Four-color,19,47
210,2023-06-23,LTR,Four-color + Splash,23,38
211,2023-06-23,LTR,Five-color,3,7
212,2023-06-24,LTR,Mono-White,8,11
213,2023-06-24,LTR,Mono-Blue,5,13
214,2023-06-24,LTR,Mono-Black,24,46
215,2023-06-24,LTR,Mono-Red,46,65
216,2023-06-24,LTR,Mono-Green,4,7
217,2023-06-24,LTR,Mono-White + Splash,9,16
218,2023-06-24,LTR,Mono-Blue + Splash,17,43
219,2023-06-24,LTR,Mono-Black + Splash,91,155
220,2023-06-24,LTR,Mono-Red + Splash,15,26
221,2023-06-24,LTR,Mono-Green + Splash,8,23
222,2023-06-24,LTR,Azorius (WU),540,1028
223,2023-06-24,LTR,Dimir (UB),1272,2228
224,2023-06-24,LTR,Rakdos (BR),4124,6637
225,2023-06-24,LTR,Gruul (RG),247,447
226,2023-06-24,LTR,Selesnya (GW),633,1184
227,2023-06-24,LTR,Orzhov (WB),1928,3336
228,2023-06-24,LTR,Golgari (BG),589,1079
229,2023-06-24,LTR,Simic (GU),510,990
230,2023-06-24,LTR,Izzet (UR),1651,2933
231,2023-06-24,LTR,Boros (RW),1793,3100
232,2023-06-24,LTR,Azorius (WU) + Splash,96,199
233,2023-06-24,LTR,Dimir (UB) + Splash,492,954
234,2023-06-24,LTR,Rakdos (BR) + Splash,631,1129
235,2023-06-24,LTR,Gruul (RG) + Splash,163,300
236,2023-06-24,LTR,Selesnya (GW) + Splash,307,616
237,2023-06-24,LTR,Orzhov (WB) + Splash,431,791
238,2023-06-24,LTR,Golgari (BG) + Splash,230,428
239,2023-06-24,LTR,Simic (GU) + Splash,216,469
240,2023-06-24,LTR,Izzet (UR) + Splash,401,744
241,2023-06-24,LTR,Boros (RW) + Splash,115,215
242,2023-06-24,LTR,Jeskai (WUR),38,74
243,2023-06-24,LTR,Sultai (UBG),47,109
244,2023-06-24,LTR,Mardu (BRW),110,213
245,2023-06-24,LTR,Temur (RGU),30,59
246,2023-06-24,LTR,Abzan (GWB),239,431
247,2023-06-24,LTR,Esper (WUB),77,174
248,2023-06-24,LTR,Grixis (UBR),239,444
249,2023-06-24,LTR,Jund (BRG),97,193
250,2023-06-24,LTR,Naya (RGW),90,168
251,2023-06-24,LTR,Bant (GWU),52,120
252,2023-06-24,LTR,Jeskai (WUR) + Splash,12,23
253,2023-06-24,LTR,Sultai (UBG) + Splash,15,32
254,2023-06-24,LTR,Mardu (BRW) + Splash,11,17
255,2023-06-24,LTR,Temur (RGU) + Splash,15,33
256,2023-06-24,LTR,Abzan (GWB) + Splash,17,39
257,2023-06-24,LTR,Esper (WUB) + Splash,2,5
258,2023-06-24,LTR,Grixis (UBR) + Splash,4,17
259,2023-06-24,LTR,Jund (BRG) + Splash,20,31
260,2023-06-24,LTR,Naya (RGW) + Splash,20,42
261,2023-06-24,LTR,Bant (GWU) + Splash,26,54
262,2023-06-24,LTR,Four-color,36,62
263,2023-06-24,LTR,Four-color + Splash,18,37
264,2023-06-24,LTR,Five-color,0,0
265,2023-06-25,LTR,Mono-White,1,4
266,2023-06-25,LTR,Mono-Blue,0,0
267,2023-06-25,LTR,Mono-Black,22,36
268,2023-06-25,LTR,Mono-Red,38,62
269,2023-06-25,LTR,Mono-Green,5,8
270,2023-06-25,LTR,Mono-White + Splash,4,12
271,2023-06-25,LTR,Mono-Blue + Splash,35,64
272,2023-06-25,LTR,Mono-Black + Splash,90,145
273,2023-06-25,LTR,Mono-Red + Splash,10,20
274,2023-06-25,LTR,Mono-Green + Splash,26,44
275,2023-06-25,LTR,Azorius (WU),453,906
276,2023-06-25,LTR,Dimir (UB),1312,2351
277,2023-06-25,LTR,Rakdos (BR),4098,6782
278,2023-06-25,LTR,Gruul (RG),181,331
279,2023-06-25,LTR,Selesnya (GW),581,1146
280,2023-06-25,LTR,Orzhov (WB),1963,3363
281,2023-06-25,LTR,Golgari (BG),513,943
282,2023-06-25,LTR,Simic (GU),490,987
283,2023-06-25,LTR,Izzet (UR),1612,2808
284,2023-06-25,LTR,Boros (RW),1669,2883
285,2023-06-25,LTR,Azorius (WU) + Splash,114,258
286,2023-06-25,LTR,Dimir (UB) + Splash,585,1046
287,2023-06-25,LTR,Rakdos (BR) + Splash,615,1122
288,2023-06-25,LTR,Gruul (RG) + Splash,150,296
289,2023-06-25,LTR,Selesnya (GW) + Splash,246,489
290,2023-06-25,LTR,Orzhov (WB) + Splash,384,701
291,2023-06-25,LTR,Golgari (BG) + Splash,302,589
292,2023-06-25,LTR,Simic (GU) + Splash,250,512
293,2023-06-25,LTR,Izzet (UR) + Splash,401,734
294,2023-06-25,LTR,Boros (RW) + Splash,161,297
295,2023-06-25,LTR,Jeskai (WUR),33,63
296,2023-06-25,LTR,Sultai (UBG),44,96
297,2023-06-25,LTR,Mardu (BRW),140,253
298,2023-06-25,LTR,Temur (RGU),36,74
299,2023-06-25,LTR,Abzan (GWB),191,369
300,2023-06-25,LTR,Esper (WUB),61,145
301,2023-06-25,LTR,Grixis (UBR),202,398
302,2023-06-25,LTR,Jund (BRG),76,149
303,2023-06-25,LTR,Naya (RGW),57,127
304,2023-06-25,LTR,Bant (GWU),51,118
305,2023-06-25,LTR,Jeskai (WUR) + Splash,6,12
306,2023-06-25,LTR,Sultai (UBG) + Splash,3,5
307,2023-06-25,LTR,Mardu (BRW) + Splash,9,20
308,2023-06-25,LTR,Temur (RGU) + Splash,12,25
309,2023-06-25,LTR,Abzan (GWB) + Splash,35,60
310,2023-06-25,LTR,Esper (WUB) + Splash,0,3
311,2023-06-25,LTR,Grixis (UBR) + Splash,12,21
312,2023-06-25,LTR,Jund (BRG) + Splash,12,33
313,2023-06-25,LTR,Naya (RGW) + Splash,14,32
314,2023-06-25,LTR,Bant (GWU) + Splash,35,55
315,2023-06-25,LTR,Four-color,12,28
316,2023-06-25,LTR,Four-color + Splash,6,13
317,2023-06-25,LTR,Five-color,1,3
318,2023-06-26,LTR,Mono-White,5,9
319,2023-06-26,LTR,Mono-Blue,0,3
320,2023-06-26,LTR,Mono-Black,38,70
321,2023-06-26,LTR,Mono-Red,28,39
322,2023-06-26,LTR,Mono-Green,3,3
323,2023-06-26,LTR,Mono-White + Splash,14,24
324,2023-06-26,LTR,Mono-Blue + Splash,37,57
325,2023-06-26,LTR,Mono-Black + Splash,64,114
326,2023-06-26,LTR,Mono-Red + Splash,33,41
327,2023-06-26,LTR,Mono-Green + Splash,17,27
328,2023-06-26,LTR,Azorius (WU),450,846
329,2023-06-26,LTR,Dimir (UB),1279,2234
330,2023-06-26,LTR,Rakdos (BR),3405,5685
331,2023-06-26,LTR,Gruul (RG),240,446
332,2023-06-26,LTR,Selesnya (GW),502,950
333,2023-06-26,LTR,Orzhov (WB),1661,2859
334,2023-06-26,LTR,Golgari (BG),528,928
335,2023-06-26,LTR,Simic (GU),439,865
336,2023-06-26,LTR,Izzet (UR),1497,2650
337,2023-06-26,LTR,Boros (RW),1569,2723
338,2023-06-26,LTR,Azorius (WU) + Splash,132,273
339,2023-06-26,LTR,Dimir (UB) + Splash,480,899
340,2023-06-26,LTR,Rakdos (BR) + Splash,601,1106
341,2023-06-26,LTR,Gruul (RG) + Splash,131,252
342,2023-06-26,LTR,Selesnya (GW) + Splash,277,542
